function,dim,strategy1,strategy2,statistic,p_value,significant
rastrigin,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,12.0,0.0008374789865327178,YES
rastrigin,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,27.0,0.0023250579833984375,YES
rastrigin,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,56.0,0.069580078125,NO
rastrigin,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,MedianCenterStrategy,WeightedRankCenterStrategy,22.0,0.0010166168212890625,YES
rastrigin,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,17.0,0.0003948211669921875,YES
rastrigin,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rastrigin,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,94.0,0.7011814117431641,NO
rosenbrock,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,6.0,2.6702880859375e-05,YES
rosenbrock,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,3.0,9.5367431640625e-06,YES
rosenbrock,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,2,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
rosenbrock,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
rosenbrock,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
rosenbrock,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,33.0,0.005580902099609375,YES
