function,strategy,dim,mean_fx,std_fx
zakharov,TrimmedMeanCenterStrategy,5,7.448757168384335e-23,4.3320923184223286e-23
zakharov,TrimmedMeanCenterStrategy,10,1.6133562013928823e-21,7.958041499185952e-22
zakharov,TrimmedMeanCenterStrategy,20,1.4385116635793665e+22,3.4754984423264266e+22
zakharov,WeightedFitnessCenterStrategy,2,4.1101649494771785e-24,7.177870111999998e-24
zakharov,WeightedFitnessCenterStrategy,5,8.521053428658529e-23,4.841345272254639e-23
zakharov,WeightedFitnessCenterStrategy,10,1.2596382817975997e+20,3.0236702249584106e+20
zakharov,WeightedFitnessCenterStrategy,20,2.3277307851245197e+23,2.173943722198904e+23
zakharov,WeightedRankCenterStrategy,2,2.283055937496644e-24,1.896980157076881e-24
zakharov,WeightedRankCenterStrategy,5,5.716268216727826e-23,3.9493183420773865e-23
zakharov,WeightedRankCenterStrategy,10,8.906510453436003e-22,5.143380026186722e-22
zakharov,WeightedRankCenterStrategy,20,9.142089299822955e+21,1.498701096131972e+22
