function,strategy,dim,seed,fx
sphere,WeightedFitnessCenterStrategy,5,43,2.5595722800447668e-23
sphere,WeightedFitnessCenterStrategy,5,34534,5.41138269690133e-23
sphere,WeightedFitnessCenterStrategy,5,22222,8.178748004056504e-24
sphere,WeightedRankCenterStrategy,5,42,1.6066937000782655e-23
sphere,WeightedRankCenterStrategy,5,123,3.275517302711269e-23
sphere,WeightedRankCenterStrategy,5,7,1.4450232397784865e-23
sphere,WeightedRankCenterStrategy,5,2024,2.701432880156509e-23
sphere,WeightedRankCenterStrategy,5,999,2.718982738153046e-23
sphere,WeightedRankCenterStrategy,5,1,3.349546736880852e-23
sphere,WeightedRankCenterStrategy,5,314,1.696477554754143e-23
sphere,WeightedRankCenterStrategy,5,2718,8.766743200375003e-24
sphere,WeightedRankCenterStrategy,5,2023,2.947796022718593e-23
sphere,WeightedRankCenterStrategy,5,86,1.72840554795472e-23
sphere,WeightedRankCenterStrategy,5,1000,1.7374862492556957e-23
sphere,WeightedRankCenterStrategy,5,2000,8.403978592273209e-24
sphere,WeightedRankCenterStrategy,5,1232,1.4151728761012928e-23
sphere,WeightedRankCenterStrategy,5,10023,1.972199557728113e-23
sphere,WeightedRankCenterStrategy,5,12,1.3581535711436982e-23
sphere,WeightedRankCenterStrategy,5,675,2.753709016808498e-23
sphere,WeightedRankCenterStrategy,5,55,1.361679131628875e-23
sphere,WeightedRankCenterStrategy,5,43,1.8071989162549752e-23
sphere,WeightedRankCenterStrategy,5,34534,1.5408520891070296e-23
sphere,WeightedRankCenterStrategy,5,22222,1.8263043379451934e-23
sphere,TrimmedMeanCenterStrategy,5,42,3.2801215157563814e-23
sphere,TrimmedMeanCenterStrategy,5,123,5.370249240328348e-23
sphere,TrimmedMeanCenterStrategy,5,7,9.8701749575826e-24
sphere,TrimmedMeanCenterStrategy,5,2024,3.1637891883976e-23
sphere,TrimmedMeanCenterStrategy,5,999,3.356781953213272e-23
sphere,TrimmedMeanCenterStrategy,5,1,4.748777278356212e-23
sphere,TrimmedMeanCenterStrategy,5,314,8.188427229495484e-23
sphere,TrimmedMeanCenterStrategy,5,2718,1.2902919607629248e-23
sphere,TrimmedMeanCenterStrategy,5,2023,3.9039300259198206e-23
sphere,TrimmedMeanCenterStrategy,5,86,8.30717095386789e-24
sphere,TrimmedMeanCenterStrategy,5,1000,2.7102635998969156e-23
sphere,TrimmedMeanCenterStrategy,5,2000,8.750190244628609e-24
sphere,TrimmedMeanCenterStrategy,5,1232,1.6963395654104643e-23
sphere,TrimmedMeanCenterStrategy,5,10023,4.5156759304400803e-23
sphere,TrimmedMeanCenterStrategy,5,12,2.814359614338797e-23
sphere,TrimmedMeanCenterStrategy,5,675,3.9658500197590644e-23
sphere,TrimmedMeanCenterStrategy,5,55,1.022474439022724e-23
sphere,TrimmedMeanCenterStrategy,5,43,5.2519139628131014e-24
sphere,TrimmedMeanCenterStrategy,5,34534,1.357977237211203e-23
sphere,TrimmedMeanCenterStrategy,5,22222,1.8772237819953233e-23
sphere,ArithmeticMeanCenterStrategy,10,42,2.9798161231389954e-22
sphere,ArithmeticMeanCenterStrategy,10,123,4.1009675542167076e-22
sphere,ArithmeticMeanCenterStrategy,10,7,2.3354863087772484e-22
sphere,ArithmeticMeanCenterStrategy,10,2024,1.3292647758628822e-22
sphere,ArithmeticMeanCenterStrategy,10,999,1.796557131031942e-22
sphere,ArithmeticMeanCenterStrategy,10,1,3.4281172938326394e-22
sphere,ArithmeticMeanCenterStrategy,10,314,1.0266232315333688e-22
sphere,ArithmeticMeanCenterStrategy,10,2718,2.2715351055703318e-22
sphere,ArithmeticMeanCenterStrategy,10,2023,3.377445001972021e-22
sphere,ArithmeticMeanCenterStrategy,10,86,2.4286085511289697e-22
sphere,ArithmeticMeanCenterStrategy,10,1000,1.414889265321471e-22
sphere,ArithmeticMeanCenterStrategy,10,2000,1.516462732006002e-22
sphere,ArithmeticMeanCenterStrategy,10,1232,2.1317983081866673e-22
sphere,ArithmeticMeanCenterStrategy,10,10023,2.6572493092955545e-22
sphere,ArithmeticMeanCenterStrategy,10,12,1.5430720687785768e-22
sphere,ArithmeticMeanCenterStrategy,10,675,1.624177804175895e-22
sphere,ArithmeticMeanCenterStrategy,10,55,5.111533817178187e-23
sphere,ArithmeticMeanCenterStrategy,10,43,2.510892831042113e-22
sphere,ArithmeticMeanCenterStrategy,10,34534,3.260817110397067e-22
sphere,ArithmeticMeanCenterStrategy,10,22222,2.2773673220578603e-22
sphere,MedianCenterStrategy,10,42,7.163437384211199e-22
sphere,MedianCenterStrategy,10,123,4.357780081218143e-21
sphere,MedianCenterStrategy,10,7,7.944211179114957e-22
sphere,MedianCenterStrategy,10,2024,7.482516939760724e-22
sphere,MedianCenterStrategy,10,999,4.057138995065025e-22
sphere,MedianCenterStrategy,10,1,2.2318690307760897e-20
sphere,MedianCenterStrategy,10,314,1.1190337232572627e-21
sphere,MedianCenterStrategy,10,2718,8.002992747205278e-22
sphere,MedianCenterStrategy,10,2023,5.1134582216277665e-22
sphere,MedianCenterStrategy,10,86,1.0796014659387332e-21
sphere,MedianCenterStrategy,10,1000,8.181686759033224e-22
sphere,MedianCenterStrategy,10,2000,4.0243821034849014e-22
sphere,MedianCenterStrategy,10,1232,4.4645243721983e-22
sphere,MedianCenterStrategy,10,10023,1.1868790241607123e-22
sphere,MedianCenterStrategy,10,12,1.762564079748344e-21
sphere,MedianCenterStrategy,10,675,7.90526844554497e-21
sphere,MedianCenterStrategy,10,55,2.8094977058956617e-22
sphere,MedianCenterStrategy,10,43,1.730392359978968e-21
sphere,MedianCenterStrategy,10,34534,3.6953394338776293e-22
sphere,MedianCenterStrategy,10,22222,1.726014026465411e-18
sphere,WeightedFitnessCenterStrategy,10,42,1.4709513169171472e-22
sphere,WeightedFitnessCenterStrategy,10,123,1.6359036623482228e-22
sphere,WeightedFitnessCenterStrategy,10,7,3.4050892915392762e-22
sphere,WeightedFitnessCenterStrategy,10,2024,1.096819690556349e-22
sphere,WeightedFitnessCenterStrategy,10,999,1.2402182610556663e-22
sphere,WeightedFitnessCenterStrategy,10,1,9.935855999282782e-23
sphere,WeightedFitnessCenterStrategy,10,314,1.0641912273806127e-22
sphere,WeightedFitnessCenterStrategy,10,2718,3.122668716713423e-22
sphere,WeightedFitnessCenterStrategy,10,2023,2.2111665691231513e-22
sphere,WeightedFitnessCenterStrategy,10,86,1.7349844342527058e-22
sphere,WeightedFitnessCenterStrategy,10,1000,1.2777862224436352e-22
sphere,WeightedFitnessCenterStrategy,10,2000,1.717819268723728e-22
sphere,WeightedFitnessCenterStrategy,10,1232,1.5608944235892552e-22
sphere,WeightedFitnessCenterStrategy,10,10023,1.9375053250699874e-22
sphere,WeightedFitnessCenterStrategy,10,12,2.3980456255938256e-22
sphere,WeightedFitnessCenterStrategy,10,675,1.978723412248402e-22
sphere,WeightedFitnessCenterStrategy,10,55,1.0975389614117647e-22
sphere,WeightedFitnessCenterStrategy,10,43,4.460867402518305e-22
sphere,WeightedFitnessCenterStrategy,10,34534,2.4621646948457324e-22
sphere,WeightedFitnessCenterStrategy,10,22222,2.849544162274237e-22
sphere,WeightedRankCenterStrategy,10,42,6.575782271246166e-23
sphere,WeightedRankCenterStrategy,10,123,9.656109561271125e-23
sphere,WeightedRankCenterStrategy,10,7,1.8816310970241227e-22
sphere,WeightedRankCenterStrategy,10,2024,1.5580299179348758e-22
sphere,WeightedRankCenterStrategy,10,999,4.7675133287894724e-23
sphere,WeightedRankCenterStrategy,10,1,2.0578537951048216e-22
sphere,WeightedRankCenterStrategy,10,314,6.007308870965076e-23
sphere,WeightedRankCenterStrategy,10,2718,2.176925928208129e-22
sphere,WeightedRankCenterStrategy,10,2023,1.9616717780410523e-22
sphere,WeightedRankCenterStrategy,10,86,2.0440021411113817e-22
sphere,WeightedRankCenterStrategy,10,1000,2.0955719853210926e-22
sphere,WeightedRankCenterStrategy,10,2000,9.233759112347374e-23
sphere,WeightedRankCenterStrategy,10,1232,1.0306060442501542e-22
sphere,WeightedRankCenterStrategy,10,10023,1.2853926497549962e-22
sphere,WeightedRankCenterStrategy,10,12,6.923555306959135e-23
sphere,WeightedRankCenterStrategy,10,675,1.8363131671032265e-22
sphere,WeightedRankCenterStrategy,10,55,3.617131052359415e-23
sphere,WeightedRankCenterStrategy,10,43,3.218197569283618e-22
sphere,WeightedRankCenterStrategy,10,34534,1.0278211225241081e-22
sphere,WeightedRankCenterStrategy,10,22222,7.946046418487479e-23
sphere,TrimmedMeanCenterStrategy,10,42,1.6816414243283973e-22
sphere,TrimmedMeanCenterStrategy,10,123,2.781045412797088e-22
sphere,TrimmedMeanCenterStrategy,10,7,1.3132259036727643e-22
sphere,TrimmedMeanCenterStrategy,10,2024,2.49193449317643e-22
sphere,TrimmedMeanCenterStrategy,10,999,2.382878712687295e-22
sphere,TrimmedMeanCenterStrategy,10,1,1.7393891099242438e-22
sphere,TrimmedMeanCenterStrategy,10,314,1.581259611768212e-22
sphere,TrimmedMeanCenterStrategy,10,2718,4.264789070679889e-22
sphere,TrimmedMeanCenterStrategy,10,2023,2.8024755099951424e-22
sphere,TrimmedMeanCenterStrategy,10,86,4.851153377299872e-22
sphere,TrimmedMeanCenterStrategy,10,1000,1.1800628169711204e-22
sphere,TrimmedMeanCenterStrategy,10,2000,1.0916855590549671e-22
